Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-01-03,187.7200927734375,192.189606657971,185.902807026229,189.4882448649875,47572728
2020-01-06,182.36648559570312,187.62186853720607,181.77710652034807,187.62186853720607,28621212
2020-01-07,181.4332733154297,186.05014307710636,179.0757272636112,183.69259702528788,34995035
2020-01-08,179.32131958007812,180.94213074343244,177.01287702483927,177.01287702483927,21862695
2020-01-09,188.60418701171875,189.34092211723328,180.99125758806866,181.5806516680459,40803142
2020-01-10,192.8772430419922,195.4803675693352,186.63954692549592,188.60417373523796,60252338
2020-01-13,192.7790069580078,194.2524770748843,188.01478091787524,191.30553684113133,40535961
2020-01-14,192.38609313964844,194.74363939910367,190.17588790056655,192.2387371303615,29867542
2020-01-15,196.80650329589844,198.13261744383033,190.56880696912705,191.55112040711225,38485962
2020-01-16,194.0560302734375,197.05208937443848,193.41751752038678,195.97153855476137,28118140
2020-01-17,193.81044006347656,195.92240791327995,192.23873260159039,193.7613213948714,18204088
2020-01-20,191.55111694335938,197.88703550601093,190.8635005469864,194.49805720402645,28976013
2020-01-21,188.01478576660156,192.9263529495213,186.83601264048352,192.04227685216114,20859400
2020-01-22,182.3173828125,189.0953396404089,180.99125365581992,188.55506424365353,32952072
2020-01-23,185.06785583496094,187.03248281829985,180.54922276663004,183.44704456927207,33032086
2020-01-24,183.2014617919922,187.62187239823328,181.72799158991182,184.67493199407255,21791825
2020-01-27,178.97750854492188,183.5943787867149,177.65139437371116,182.415605638223,30132428
2020-01-28,172.9853973388672,181.04036429574145,171.8066092568113,180.6474299387518,38283588
2020-01-29,184.7240447998047,185.55900222778985,175.3920671496095,175.63764550882516,61585660
2020-01-30,182.90675354003906,189.14444967532054,180.99124539255448,187.5727422272284,70900581
2020-01-31,173.4765625,185.0187456196325,172.8380497596082,183.00500003502026,75621897
2020-02-03,160.95205688476562,165.32334852510903,156.72810625913095,160.6082411985613,66616190
2020-02-04,162.7693328857422,165.61805083541026,158.34892243628013,163.6043052995393,49034642
2020-02-05,180.50009155273438,181.6788646630512,163.65342233671117,164.4392610843135,92982265
2020-02-06,175.68675231933594,180.1562661642314,172.64157487505025,178.78103344101933,61821140
2020-02-07,170.52960205078125,174.9991157627117,169.94020805041728,174.2623807567128,45195760
2020-02-10,165.9127197265625,170.13667015243936,165.0286437022937,170.13667015243936,33279372
